sasdate,HH_Spread,PNFC_Spread,FTITLMS,GDP_K2020,M_K2020,C_K2020,G_K2020,I_K2020,X_K2020,PNFC_Lending_K2020,HH_Lending_K2020,Ur15_74,Emp,Volume_HH,Volume_PNFC,Specific provisions,Tier 1 capital_to_total_Assets_Percent,NPLs,ROE,Provisions_to_NPLs,Total assets,Tier 1 capital to risk-weighted assets_Percent,Regulatory capital to risk-weighted assets_Percent,Risk-weighted assets,Total regulatory capital,Tier 1 capital,GBP_EUR,JPY_EUR,USD_EUR,GrossYield_BTP3,GrossYield_BTP5,GrossYield_BTP10,GrossYield_BTP30,GrossYield_CCT,GrossYiled_Bund10,Spread_BTP_BUND,Shadow_rate
speed,slow,slow,fast,slow,slow,slow,slow,slow,slow,slow,slow,slow,slow,slow,slow,slow,slow,slow,slow,slow,slow,slow,slow,slow,slow,slow,fast,fast,fast,fast,fast,fast,fast,fast,fast,fast,slow
Transform:,2,2,5,5,5,5,5,5,5,5,5,2,5,5,5,6,2,6,2,2,6,2,2,5,5,5,5,5,5,2,2,2,2,2,2,2,2
2005-06-30 00:00:00,1.5199,1.2541,175.8590,107.5176,91.8825,108.2764,103.0759,130.1092,83.1587,119.3668,64.8420,79.9467,97.5376,75.1123,102.3138,,,,,,,7.8816,10.6472,98.6483,59.1413,50.4169,78.6962,112.7613,114.2120,2.4220,2.7902,3.5370,4.1487,2.2442,3.3043,0.2327,1.8175
2005-09-30 00:00:00,1.4680,1.2822,189.8682,108.0996,91.9791,108.8912,103.5156,131.6575,84.0864,118.2953,66.3280,75.6520,97.3915,75.3283,111.4195,,,,,,,7.5172,10.3064,108.6123,62.8394,52.7074,79.2626,112.9227,110.6343,2.4062,2.7207,3.3915,3.9939,2.2343,3.1687,0.2228,1.8506
2005-12-31 00:00:00,1.3189,1.1660,190.9695,108.5926,94.0156,109.0766,102.3996,132.3655,86.0376,119.0180,67.8235,85.6252,97.9347,76.4954,104.7720,70.8974,4.6124,78.2572,11.6772,47.0433,79.5178,7.1528,9.9656,118.5764,66.5375,54.9978,78.8592,116.0804,107.7747,2.8121,3.0500,3.5509,4.0305,2.4801,3.3415,0.2095,2.2676
2006-03-31 00:00:00,1.3414,1.0568,206.6077,108.9572,97.9163,109.6844,102.4040,132.6493,88.6335,122.3248,70.0430,80.8854,98.5884,80.8345,101.6642,69.4259,4.6756,76.5102,12.3095,47.1206,81.5353,7.2502,10.0509,121.5946,68.8296,57.1853,79.5880,116.9994,109.0364,3.1508,3.3203,3.7212,4.0925,2.8314,3.4771,0.2442,2.6369
2006-06-30 00:00:00,1.3592,1.0437,197.1038,109.3023,98.3483,109.5535,102.6090,133.5146,90.2017,124.4421,71.1980,69.6224,99.1494,80.0288,107.2729,67.9381,4.7395,74.7438,12.9489,47.1987,83.5752,7.3487,10.1371,124.6463,71.1472,59.3972,79.7656,119.7476,114.1097,3.5794,3.8358,4.2671,4.6570,3.1492,3.9394,0.3277,2.9368
2006-09-30 00:00:00,1.3459,1.0387,208.4222,109.6297,99.5646,109.7192,102.1998,133.1022,89.7613,125.8686,72.6080,64.8138,98.8633,80.2325,105.0057,69.7209,4.6719,74.7438,13.8904,48.4373,84.1511,7.2061,10.1199,126.1798,71.8992,58.9464,78.8371,123.3073,115.5656,3.7243,3.8413,4.1710,4.5388,3.4669,3.8826,0.2884,3.2193
2006-12-31 00:00:00,1.2145,1.0399,225.0872,111.1363,103.6236,110.4520,103.7586,137.9595,94.7040,131.5579,73.6842,73.5239,99.0890,81.8166,119.1671,71.5036,4.6042,74.7438,14.8320,49.6758,84.7269,7.0634,10.1028,127.7132,72.6512,58.4957,78.0674,126.3305,116.8713,3.7705,3.8442,4.0259,4.2788,3.7791,3.7574,0.2684,3.5442
2007-03-31 00:00:00,1.3109,0.6978,228.9425,111.0311,104.6488,110.9053,103.2077,136.3828,95.0191,133.7859,74.8562,67.7642,98.9302,81.7931,144.3326,68.4891,4.5893,72.4928,14.1416,49.0390,88.9741,7.2092,10.2009,130.8924,75.2009,61.2196,77.7755,130.2545,118.8567,3.9820,4.0489,4.2397,4.4972,4.0113,4.0022,0.2375,3.8106
2007-06-30 00:00:00,1.3223,0.7363,230.2493,111.3002,104.0498,111.4447,103.1119,136.1488,95.7593,136.9828,76.2205,60.7751,99.4956,84.9736,141.7505,65.4410,4.5742,70.2167,13.4435,48.3951,93.2685,7.3566,10.3002,134.1069,77.7789,63.9737,78.7237,135.6357,122.2623,4.3395,4.3944,4.5440,4.8372,4.2480,4.3305,0.2134,4.1054
2007-09-30 00:00:00,1.1166,0.5143,218.0594,111.2788,105.2949,111.1151,102.7648,136.5241,96.5608,138.5244,77.4473,60.2024,99.9453,82.4105,153.3748,68.6522,4.5817,69.1918,13.6614,51.5689,92.2675,7.2167,10.2070,135.4861,77.8610,63.3902,78.8642,134.8056,124.5922,4.3748,4.4277,4.6391,4.9410,4.3748,4.3425,0.2966,4.0610
2007-12-31 00:00:00,0.9689,0.5798,208.6464,111.0452,104.4492,110.9630,103.4038,134.7402,96.0891,144.0839,77.4888,70.0629,100.2076,83.1891,153.7907,71.8634,4.5893,68.1668,13.8793,54.7428,91.2666,7.0768,10.1139,136.8653,77.9432,62.8066,82.0898,136.4116,131.3738,4.1499,4.2250,4.5262,4.9128,4.2602,4.1925,0.3337,3.8403
2008-03-31 00:00:00,1.1697,0.8127,171.6373,112.2602,104.1011,111.0451,104.1534,135.7770,97.5631,147.7290,76.9634,74.8344,100.4624,76.2561,144.1163,69.5472,4.3427,70.2959,11.2581,51.4729,94.2685,6.8873,10.0415,137.2153,77.5817,61.2769,87.7918,131.3923,135.8172,3.7203,3.8885,4.3769,4.9749,4.2097,3.9267,0.4503,3.4590
2008-06-30 00:00:00,0.8884,0.6503,159.2358,111.2147,102.7804,110.4341,105.6210,134.6770,95.1691,148.7596,75.7864,71.7139,100.8173,73.8139,150.2012,67.2311,4.0962,72.4249,8.6370,48.2030,97.2704,6.6979,9.9691,137.5652,77.2202,59.7471,91.9521,136.0149,141.6766,4.4423,4.5086,4.7801,5.1671,4.6131,4.2541,0.5260,3.9146
2008-09-30 00:00:00,0.9123,0.6327,138.6571,109.5415,99.0336,109.5266,104.0831,130.7765,91.5977,149.8344,76.8127,64.5975,100.5390,71.5392,168.8955,72.3070,4.0928,79.7580,6.7693,47.1707,95.4775,6.8000,10.1725,132.9603,76.1056,58.5977,92.2053,134.7524,136.4901,4.5655,4.6807,4.9042,5.2737,4.9908,4.2623,0.6419,4.1444
